Plan;Money;Runtime_MS;Inequity
0;1111,375000;1380820;0,000000
1;1042,520000;79909;0,000000
2;1211,360000;46650;0,022792
3;1223,420000;47511;0,014888
4;1203,320000;46650;0,045777
5;1122,920000;74850;0,050988
6;990,660000;180204;0,000000
7;1231,460000;46716;0,015722
8;1235,480000;46650;0,015793
9;1012,520000;311372;0,000000
10;1121,580000;77159;0,049391
11;1141,680000;72001;0,053100
12;1076,020000;77371;0,049335
13;1072,000000;79680;0,047839
14;1228,780000;47001;0,015420
15;1136,320000;72423;0,052777
16;1021,080000;79931;0,000000
17;1050,560000;79909;0,000000
18;978,890000;231086;0,036804
19;1126,940000;73070;0,052288
